gene	rho_full	p_full	rho_partial_CD8A	p_partial_CD8A	direction_stable
IFNGR1	0.5951885974888502	0.000128713106565016	0.5948785430274878	0.0001300281726378792	True
JAK1	-0.3898107319486249	0.018766265635846054	-0.3945630896401917	0.01724940357460575	True
TCF7L2	0.3861989845976781	0.019992195879060905	0.3856340934536055	0.02018984003582935	True
TIMP3	-0.6337326691143594	3.336264930755768e-05	-0.6343212302166816	3.263550977539533e-05	True
IRAK2	-0.6714747045630011	7.356514736973356e-06	-0.6772503480981344	5.726169847164256e-06	True
