Pathway	ES	NES	Nominal p	FDR q	Tag (%)	Gene (%)	Lead_genes
mTORC1 Signaling	0.2044790068238959	1.0546680620126418	0.3224400871459695	0.6806881756614647	51/177	23.88%	ADD3;TFRC;ETF1;BUB1;HSPA9;NAMPT;PSPH;ACSL3;TBK1;TCEA1;RPN1;IMMT;HMGCR;GCLC;P4HA1;GPI;PPA1;CCNF;MTHFD2L;HMGCS1;CD9;LDHA;PIK3R3;ATP6V1D;PDAP1;PDK1;IDH1;CDKN1A;UBE2D3;PSMD14;ACTR3;DHFR;EGLN3;UCHL5;SSR1;TXNRD1;PGM1;PSMC2;NUP205;SLC6A6;RIT1;NMT1;G6PD;CYP51A1;HSPD1;CCNG1;GAPDH;UNG;USO1;ERO1A;CANX
Fatty Acid Metabolism	0.2145695404628009	1.0503320721065563	0.3611111111111111	0.6401590039120011	24/125	15.69%	DLD;RDH16;HSD17B7;ALDH3A2;HMGCL;NBN;AADAT;MDH1;SUCLG2;DLST;UBE2L6;PTPRG;DECR1;OSTC;HIBCH;HMGCS1;LDHA;ALAD;PPARA;ACSL4;SUCLA2;IDH1;CRAT;UROS
Interferon Gamma Response	0.2048465854171791	1.046167190069976	0.3195876288659793	0.6025905277156696	33/163	19.93%	IRF1;CASP4;CD74;AUTS2;TNFSF10;NAMPT;CIITA;IL7;PLSCR1;NOD1;RNF213;NFKB1;UBE2L6;IL6;RAPGEF6;STAT1;TRIM25;PARP12;IRF2;SOD2;PTPN2;CASP8;LCP2;IFIH1;PARP14;CDKN1A;CFB;IL15;VCAM1;ADAR;TNFAIP3;ZBP1;CD274
Reactive Oxygen Species Pathway	0.2538620617508242	1.0088872521529395	0.4276985743380855	0.6766139257621191	8/42	11.45%	PTPA;OXSR1;LSP1;MSRA;GCLC;MGST1;SOD2;MBP
Androgen Response	0.2102137034093386	0.9605589694183012	0.5659574468085107	0.7911103632972982	18/82	18.51%	PGM3;XRCC5;TPD52;ACSL3;HMGCR;MYL12A;SLC38A2;HMGCS1;NDRG1;PDLIM5;CDC14B;ITGAV;ABCC4;PIAS1;DBI;ELL2;PTK2B;MERTK
Spermatogenesis	0.2139313520241482	0.9318192870597372	0.5686695278969958	0.8357695705211794	25/65	27.32%	TOPBP1;BUB1;CDK1;GAD1;TLE4;SLC12A2;DBF4;TSN;VDAC3;PIAS2;TTK;MLLT10;IP6K1;IDE;RPL39L;IL13RA2;EZH2;SPATA6;LPIN1;MTOR;PARP2;CCT6B;RFC4;IFT88;PGS1
Complement	0.184734909152827	0.9290608010008038	0.6408163265306123	0.7967318336917067	39/147	21.53%	IRF1;CASP4;ERAP2;PLSCR1;CASP10;OLR1;IL6;S100A9;KCNIP2;PHEX;CXCL1;IRF2;DOCK4;CASP9;MMP12;KIF2A;RAF1;TFPI2;PRDM4;PLEK;CTSB;GNG2;SERPINA1;XPNPEP1;LCP2;PRKCD;CFB;LYN;CD46;C4BPB;AKAP10;ADAM9;TNFAIP3;KCNIP3;PSEN1;GCA;PRCP;CDH13;CR1
Hedgehog Signaling	0.2381218828979299	0.8306580047259201	0.702355460385439	1.0	6/27	14.50%	RASA1;NF1;VEGFA;OPHN1;PTCH1;SHH
Myc Targets V1	0.1520850327847419	0.7865782824220586	0.9470468431771896	1.0	35/181	20.53%	PSMA6;ETF1;YWHAQ;PSMD1;STARD7;TRA2B;HNRNPR;PSMA1;G3BP1;NDUFAB1;ORC2;SRPK1;RAD23B;RANBP1;VDAC3;TCP1;LDHA;RPS5;NCBP1;HNRNPC;HDDC2;UBA2;EIF4E;MAD2L1;DUT;MCM6;DEK;PSMD14;SNRPD3;GSPT1;UBE2E1;CCT4;SLC25A3;RPL34;HNRNPA1
Pperoxisome	0.1713283631131541	0.7769045645415	0.8856548856548857	1.0	14/82	15.62%	SEMA3C;EPHX2;CLN8;HMGCL;ATXN1;VPS4B;SOD2;TOP2A;SLC23A2;SLC27A2;ACSL4;IDE;IDH1;CRAT
Cholesterol Homeostasis	0.1613154038134904	0.6883364301317213	0.9467213114754098	1.0	9/62	12.92%	FDFT1;HSD17B7;CPEB2;PLSCR1;HMGCR;HMGCS1;CD9;ALCAM;ETHE1
Allograft Rejection	0.1339590354344352	0.6627691644826779	0.997946611909651	0.9837210280570396	22/140	19.05%	IFNGR1;TAP2;CD74;IL7;TPD52;IKBKB;IL6;UBE2D1;STAT1;EGFR;CCND2;EIF3A;EIF4G3;CD96;LCP2;LYN;CD47;PF4;IL15;BRCA1;IL1B;TLR6
