gene	genus	rho_relabund	p_relabund	rho_clr	p_clr	direction_stable	p_No	p_Yes	rho_No	rho_Yes
IFNGR1	Fusobacterium	0.5951885974888502	0.000128713106565	0.5437693280126679	0.0006087065719769	True	0.002644425301406	0.1156846221390503	0.5648307856563068	0.529253317781447
JAK1	Fusobacterium	-0.3898107319486249	0.018766265635846	-0.3768339768339769	0.0234850966049596	True	0.0202461326160082	0.2379418661675305	-0.4526172800867922	-0.4110738898236986
TCF7L2	Fusobacterium	0.3861989845976781	0.0199921958790609	0.3454311454311454	0.0390707313906087	True	0.2463591595156144	0.0695150101530112	0.2357167845652304	0.5951368255656533
TIMP3	Fusobacterium	-0.6337326691143594	3.336264930755768e-05	-0.6030888030888031	9.898964490230544e-05	True	0.0124980119928847	0.0005669647218379	-0.4827233425566619	-0.8896375227527807
IRAK2	Faecalibacterium	-0.6714747045630011	7.356514736973356e-06	-0.6270270270270271	4.274796934283838e-05	True	0.0015531710949092	0.0052114617667064	-0.5888186100760782	-0.8024353176576853
NFKB1	Fusobacterium	0.3219821983834326	0.0554845500310339	0.3110882302599856	0.064779122212478	True				
STAT1	Fusobacterium	0.2853280407248041	0.0916381287062538	0.3001287001287002	0.0753258296455291	True				
DROSHA	Fusobacterium	0.3628516177933428	0.0296294079056718	0.349034749034749	0.0369403124837649	True				
PTEN	Fusobacterium	0.3300879096811817	0.0492835162149817	0.3142857142857143	0.061932290416086	True				
